study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Lee et al., (2000); 23;China;M/F;60 ;108.3 ; 27.1;133 ;116.0 ; 30.9;vegetarian;ldl_cholesterol
Krajcovicova et al., (2000); 25;Slovak Rep.;M/F;54 ;104.0 ; 1.2;59 ;139.6 ; 1.6;vegetarian;ldl_cholesterol
Lu et al., (2000); 26;Taiwan;M;26 ;92.8 ; 22.4;26 ;137.7 ; 38.3;vegetarian;ldl_cholesterol
Lu et al., (2000); 26;Taiwan;F 1;29 ;80.8 ; 22;27 ;128.8 ; 47.2;vegetarian;ldl_cholesterol
Lu et al., (2000); 26;Taiwan;F 2;55 ;76.2 ; 22.4;60 ;101.3 ; 29;vegetarian;ldl_cholesterol
Lin et al., (2001); 27;Taiwan;M/F;20 ;116 ; 29;20 ;120 ; 30;vegetarian;ldl_cholesterol
Kwok et al., (2005); 29;China;M/F;49 ;92.8 ; 23.2;49 ;131.5 ; 38.7;vegetarian;ldl_cholesterol
Su et al., (2006); 33;Taiwan;F;57 ;108.3 ; 27.1;61 ;123.7 ; 27.1;vegetarian;ldl_cholesterol
Fu et al., (2006); 35;Taiwan;F;35 ;112 ; 6;35 ;136 ; 7;vegetarian;ldl_cholesterol
De Biase et al., (2007); 36;Brazil;M/F;19 ;101.5 ; 28.1;22 ;123.4 ; 42.7;vegetarian;ldl_cholesterol
Teixeira et al., (2007); 37;Brazil;M/F;67 ;106 ; 35;134 ;151 ; 43;vegetarian;ldl_cholesterol
Fu et al., (2008); 39;Taiwan;F;35 ;111.6 ; 6.1;35 ;135.9 ; 6.8;vegetarian;ldl_cholesterol
Chen et al., (2008); 41;Taiwan;M/F;99 ;119.6 ; 31.6;99 ;135.9 ; 39.5;vegetarian;ldl_cholesterol
Pitla et al., (2009); 43;India;M;14 ;116.0 ; 17.0;15 ;127.6 ; 30.9;vegetarian;ldl_cholesterol
Pitla et al., (2009); 43;India;F;12 ;112.1 ; 20.9;11 ;108.3 ; 22.0;vegetarian;ldl_cholesterol
Sambol et al., (2009); 44;Croatia;M/F;30 ;83.9 ; 34.8;50 ;114.9 ; 23.2;vegetarian;ldl_cholesterol
Yang et al., (2011); 49;China;M;171 ;100.2 ; 21.7;129 ;120.3 ; 30.9;vegetarian;ldl_cholesterol
Chen et al., (2011); 50;Taiwan;F;173 ;118.2 ; 32.8;190 ;126.4 ; 34.3;vegetarian;ldl_cholesterol
Fernandes-Dourado et al., (2011); 86;Brazil;M/F;29 ;87.4 ; 50.4;58 ;143.8 ; 34.1;vegetarian;ldl_cholesterol
